employee_id,employee_name,date,clock_in,clock_out,lunch_start,lunch_end,hours_worked,base_rate,crew_id,status
EMP-CREW-001,Juan Garcia,2025-11-01,07:15:00,16:15:00,12:00:00,12:45:00,8.25,18.00,foreman1,approved
EMP-CREW-002,Maria Lopez,2025-11-01,06:45:00,15:00:00,12:00:00,12:30:00,8.0,17.50,foreman1,approved
EMP-CREW-005,Miguel Hernandez,2025-11-01,06:50:00,15:10:00,12:00:00,12:30:00,8.0,17.00,foreman1,approved
EMP-CREW-006,Sofia Ramirez,2025-11-01,06:45:00,15:15:00,12:00:00,12:30:00,8.0,18.00,foreman1,approved
EMP-CREW-003,Carlos Rodriguez,2025-11-01,06:45:00,15:00:00,12:00:00,12:30:00,8.0,19.00,foreman2,approved
EMP-CREW-004,Ana Martinez,2025-11-01,07:10:00,16:10:00,12:00:00,12:40:00,8.25,18.50,foreman2,approved
EMP-CREW-007,Diego Torres,2025-11-01,06:50:00,15:05:00,12:00:00,12:30:00,8.0,17.50,foreman2,approved
EMP-CREW-008,Isabella Flores,2025-11-01,06:45:00,15:00:00,12:00:00,12:30:00,8.0,18.50,foreman2,approved
EMP-CREW-009,Luis Morales,2025-11-01,06:40:00,14:55:00,12:00:00,12:30:00,8.0,19.00,foreman2,approved
EMP-CREW-010,Carmen Diaz,2025-11-01,06:50:00,15:10:00,12:00:00,12:30:00,8.0,18.00,foreman2,approved
EMP-CREW-001,Juan Garcia,2025-11-02,07:00:00,15:30:00,12:00:00,12:30:00,8.0,18.00,foreman1,approved
EMP-CREW-002,Maria Lopez,2025-11-02,06:45:00,15:00:00,12:00:00,12:30:00,8.0,17.50,foreman1,approved
EMP-CREW-005,Miguel Hernandez,2025-11-02,07:20:00,16:20:00,12:00:00,12:45:00,8.25,17.00,foreman1,approved
EMP-CREW-006,Sofia Ramirez,2025-11-02,06:40:00,15:10:00,12:00:00,12:30:00,8.0,18.00,foreman1,approved
EMP-CREW-003,Carlos Rodriguez,2025-11-02,06:45:00,15:15:00,12:00:00,12:30:00,8.0,19.00,foreman2,approved
EMP-CREW-004,Ana Martinez,2025-11-02,06:50:00,15:20:00,12:00:00,12:30:00,8.0,18.50,foreman2,approved
EMP-CREW-007,Diego Torres,2025-11-02,07:10:00,16:10:00,12:00:00,12:40:00,8.25,17.50,foreman2,approved
EMP-CREW-008,Isabella Flores,2025-11-02,06:45:00,15:00:00,12:00:00,12:30:00,8.0,18.50,foreman2,approved
EMP-CREW-009,Luis Morales,2025-11-02,06:45:00,15:00:00,12:00:00,12:30:00,8.0,19.00,foreman2,approved
EMP-CREW-010,Carmen Diaz,2025-11-02,06:50:00,15:05:00,12:00:00,12:30:00,8.0,18.00,foreman2,approved
EMP-CREW-001,Juan Garcia,2025-11-03,06:45:00,15:00:00,12:00:00,12:30:00,8.0,18.00,foreman1,approved
EMP-CREW-002,Maria Lopez,2025-11-03,07:15:00,16:15:00,12:00:00,12:45:00,8.25,17.50,foreman1,approved
EMP-CREW-005,Miguel Hernandez,2025-11-03,06:50:00,15:05:00,12:00:00,12:30:00,8.0,17.00,foreman1,approved
EMP-CREW-006,Sofia Ramirez,2025-11-03,06:45:00,15:00:00,12:00:00,12:30:00,8.0,18.00,foreman1,approved
EMP-CREW-003,Carlos Rodriguez,2025-11-03,06:50:00,15:10:00,12:00:00,12:30:00,8.0,19.00,foreman2,approved
EMP-CREW-004,Ana Martinez,2025-11-03,06:45:00,15:00:00,12:00:00,12:30:00,8.0,18.50,foreman2,approved
EMP-CREW-007,Diego Torres,2025-11-03,06:40:00,14:55:00,12:00:00,12:30:00,8.0,17.50,foreman2,approved
EMP-CREW-008,Isabella Flores,2025-11-03,07:10:00,16:10:00,12:00:00,12:40:00,8.25,18.50,foreman2,approved
